time,ankle_angle,commanded_torque
0,0,-5.34170403109273
0.00800001903130898,-0.136422552097469,-5.46455595144478
0.016000038062618,-0.344774096660371,-5.58128818385193
0.0240000570939269,-0.546419917633514,-5.69259105974565
0.0320000761252359,-0.741729483374234,-5.79913611468341
0.0400000951565449,-0.931013821050425,-5.90156979535829
0.0480001141878539,-1.11452447051796,-6.00050859202968
0.0560001332191629,-1.29245503157962,-6.09653544733245
0.0640001522504718,-1.46494479382664,-6.19019729114359
0.0720001712817808,-1.63208396005045,-6.28200355000688
0.0800001903130898,-1.79392000495928,-6.37242548029144
0.0880002093443988,-1.95046474831842,-6.46189617887005
0.0960002283757078,-2.10170176115682,-6.55081113088143
0.104000247407017,-2.24759376349437,-6.63952915654684
0.112000266438326,-2.38808971866358,-6.72837362125748
0.120000285469635,-2.52313139141339,-6.81763378560885
0.128000304500944,-2.65265921321501,-6.90756620182011
0.136000323532253,-2.77661737614778,-6.99839610848321
0.144000342563562,-2.89495814218751,-7.09031882891453
0.152000361594871,-3.0076453986698,-7.18350122779616
0.16000038062618,-3.1146575124102,-7.27808331261373
0.168000399657489,-3.21598954171491,-7.37418006890702
0.176000418688798,-3.31165486687207,-7.47188358718237
0.184000437720107,-3.40168630098982,-7.57126548193848
0.192000456751416,-3.48613674544275,-7.67237953965746
0.200000475782724,-3.56507945778497,-7.7752644888018
0.208000494814033,-3.63860800249864,-7.87994677819494
0.216000513845342,-3.70683594980108,-7.98644327719403
0.224000532876651,-3.76989636919531,-8.09476385172348
0.23200055190796,-3.82794113640446,-8.20491380504776
0.240000570939269,-3.88114004777599,-8.31689619345375
0.248000589970578,-3.9296797248977,-8.43071403587099
0.256000609001886,-3.97376229186114,-8.54637243505771
0.264000628033195,-4.01360380927663,-8.6638806162866
0.272000647064504,-4.0494324451279,-8.78325386543413
0.280000666095813,-4.08148634994635,-8.90451531037063
0.288000685127122,-4.11001118725568,-9.02769744236643
0.296000704158431,-4.13525726241488,-9.15284323353991
0.30400072318974,-4.15747620561718,-9.28000669182354
0.312000742221049,-4.17691719898963,-9.40925271514324
0.320000761252358,-4.19382278508829,-9.54065615260613
0.328000780283667,-4.20842434334249,-9.67430003491657
0.336000799314976,-4.22093736200318,-9.81027298563801
0.344000818346285,-4.23155666085481,-9.9486658650399
0.352000837377594,-4.24045173724188,-10.0895677307081
0.360000856408903,-4.24776241997952,-10.2330612266597
0.368000875440212,-4.25359502149914,-10.3792175384286
0.376000894471521,-4.2580191726822,-10.5280910794965
0.38400091350283,-4.26106550510972,-10.6797141067236
0.392000932534139,-4.26272431433054,-10.8340914953602
0.400000951565448,-4.2629452990143,-10.9911959306819
0.408000970596757,-4.26163843016478,-11.1509637898176
0.416000989628066,-4.25867596925663,-11.3132919944023
0.424001008659375,-4.25389562758048,-11.478036110799
0.432001027690684,-4.24710483764916,-11.6450099555909
0.440001046721993,-4.23808608528102,-11.813986928152
0.448001065753302,-4.22660322379106,-11.9847032404206
0.456001084784611,-4.21240865576384,-12.1568631454912
0.46400110381592,-4.19525121843449,-12.3301461792395
0.472001122847229,-4.1748845448833,-12.5042163280106
0.480001141878538,-4.1510756040208,-12.6787329349356
0.488001160909847,-4.123613064891,-12.8533630717455
0.496001179941156,-4.09231510157111,-13.0277950374214
0.504001198972465,-4.05703626152426,-13.2017526005879
0.512001218003774,-4.01767305763031,-13.3750095805651
0.520001237035083,-3.97416799382318,-13.5474043576449
0.528001256066392,-3.9265117732742,-13.7188539004081
0.536001275097701,-3.87474345932082,-13.8893668817724
0.54400129412901,-3.81894838262128,-14.0590554271363
0.552001313160319,-3.75925364150932,-14.2281450098151
0.560001332191628,-3.69582113409427,-14.396981988373
0.568001351222937,-3.62883817221247,-14.5660382685119
0.576001370254246,-3.55850583356368,-14.7359125751641
0.584001389285555,-3.48502529571814,-14.9073278503408
0.592001408316864,-3.40858246620625,-15.081124354574
0.600001427348173,-3.32933128498895,-15.2582481406609
0.608001446379482,-3.24737613353032,-15.439734686285
0.616001465410791,-3.16275383636951,-15.6266876206164
0.6240014844421,-3.07541578054533,-15.8202526544233
0.632001503473408,-2.98521069524848,-16.0215870026164
0.640001522504717,-2.89186861585536,-16.2318247484442
0.648001541536026,-2.79498650007746,-16.4520387309239
0.656001560567335,-2.69401588858877,-16.6831996498428
0.664001579598644,-2.58825294064694,-16.9261331874633
0.672001598629953,-2.47683114815006,-17.1814760447271
0.680001617661262,-2.35871703630883,-17.449631872755
0.688001636692571,-2.23270917314839,-17.7307281327254
0.69600165572388,-2.09744080244737,-18.0245749257863
0.704001674755188,-1.95138636380009,-18.3306268004243
0.712001693786497,-1.79287207562979,-18.6479484924549
0.720001712817806,-1.62009066304279,-18.9751855194661
0.728001731849115,-1.43112023997012,-19.3105405555396
0.736001750880424,-1.22394730898542,-19.6517565395777
0.744001769911733,-0.996493810867557,-19.9961074934559
0.752001788943042,-0.746648124302365,-20.3403980224081
0.760001807974351,-0.472299872410485,-20.6809724267628
0.76800182700566,-0.1713783353462,-21.0137342652177
0.776001846036969,0.158105792783282,-21.3341770727805
0.784001865068278,0.518015618729142,-21.6374267467557
0.792001884099587,0.910040602465488,-21.9182958657127
0.800001903130896,1.33564687077177,-22.1713499009819
0.808001922162205,1.79602579619114,-22.39098493073
0.816001941193514,2.29204145854485,-22.5715160908884
0.824001960224823,2.82417774697638,-22.7072756139385
0.832001979256132,3.39248600371372,-22.7927189338877
0.840001998287441,3.99653422587601,-22.8225369868149
0.84800201731875,4.63535892122043,-22.7917725180731
