time,desire_torque,passive_torque,commanded_torque,ankle_angle,angular_speed,device_current
0.5047581195831299,0,2.1690297248020314,-2.1690297248020314,-3.1144726562500002,0.7847377232142585,-0.002
0.5087783336639404,0,2.167905128618821,-2.167905128618821,-3.0925000000000002,0.8968431122448707,-0.002
0.5127596855163574,0,2.167905128618821,-2.167905128618821,-3.0925000000000002,0.8968431122448707,-0.328
0.5167603492736816,0,2.1690297248020314,-2.1690297248020314,-3.1144726562500002,0.7847377232142585,-0.876
0.521754264831543,0,2.1690297248020314,-2.1690297248020314,-3.1144726562500002,0.7847377232142585,-1.076
0.5247812271118164,0,2.1690297248020314,-2.1690297248020314,-3.1144726562500002,0.7847377232142585,-1.118
0.5297529697418213,0,2.1735551160150686,-2.1735551160150686,-3.2023632812500002,0.33631616709180945,-1.244
0.5327653884887695,0,2.1769775162290532,-2.1769775162290532,-3.2682812500000002,-2.7261639657734455e-14,-1.329
0.5377628803253174,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.308
0.5417428016662598,0,2.186222745312543,-2.186222745312543,-3.4440625000000002,-0.8968431122449252,-1.307
0.5447955131530762,0,2.186222745312543,-2.186222745312543,-3.4440625000000002,-0.8968431122449252,-1.367
0.5487782955169678,0,2.186222745312543,-2.186222745312543,-3.4440625000000002,-0.8968431122449252,-1.343
0.5527558326721191,0,2.186222745312543,-2.186222745312543,-3.4440625000000002,-0.8968431122449252,-1.2770000000000001
0.5567693710327148,0,2.186222745312543,-2.186222745312543,-3.4440625000000002,-0.8968431122449252,-1.236
0.5607635974884033,0,2.1850576394090377,-2.1850576394090377,-3.4220898437500002,-0.784737723214313,-1.214
0.564763069152832,0,2.1827355295460866,-2.1827355295460866,-3.3781445312500002,-0.5605269451530885,-1.211
0.5687568187713623,0,2.1827355295460866,-2.1827355295460866,-3.3781445312500002,-0.5605269451530885,-1.213
0.5744264125823975,0,2.181578525586641,-2.181578525586641,-3.3561718750000002,-0.44842155612247625,-1.188
0.5777454376220703,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.213
0.5817272663116455,0,2.1827355295460866,-2.1827355295460866,-3.3781445312500002,-0.5605269451530885,-1.231
0.5847694873809814,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.23
0.5888235569000244,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.23
0.5927834510803223,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.228
0.5967659950256348,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.228
0.6007752418518066,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.22
0.6048123836517334,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.218
0.6088242530822754,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.243
0.6128218173980713,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.2510000000000001
0.6168203353881836,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.241
0.62076735496521,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.231
0.6247694492340088,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.228
0.6287658214569092,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.228
0.6327548027038574,0,2.1827355295460866,-2.1827355295460866,-3.3781445312500002,-0.5605269451530885,-1.235
0.6367721557617188,0,2.1850576394090377,-2.1850576394090377,-3.4220898437500002,-0.784737723214313,-1.23
0.640763521194458,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.227
0.6447999477386475,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.228
0.6487622261047363,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.23
0.6527619361877441,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.226
0.6567609310150146,0,2.1850576394090377,-2.1850576394090377,-3.4220898437500002,-0.784737723214313,-1.225
0.6607589721679688,0,2.1850576394090377,-2.1850576394090377,-3.4220898437500002,-0.784737723214313,-1.233
0.6647589206695557,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.233
0.6752238273620605,0,2.1850576394090377,-2.1850576394090377,-3.4220898437500002,-0.784737723214313,-1.23
0.6769442558288574,0,2.1850576394090377,-2.1850576394090377,-3.4220898437500002,-0.784737723214313,-1.233
0.6797535419464111,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.229
0.6848430633544922,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.228
0.6875073909759521,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.225
0.6919443607330322,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.231
0.6982338428497314,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.225
0.704949140548706,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-0.6726323341837007,-1.233
0.7129883766174316,0,2.1838952341535527,-2.1838952341535527,-3.4001171875000002,-1.457370057397959,-1.228
