Angle,Torque
-0.036799999994379905,-2.0906549202323235
-0.036799999994401596,-2.094791802340536
-0.03679999999483758,-2.098788420006916
-0.03679999999447917,-2.1025237249771678
-0.03679999999472852,-2.105905991940074
-0.036799999994461104,-2.108882498074615
-0.0367999999947196,-2.1114446516222514
-0.036799999994341734,-2.113628036419387
-0.03679999999453349,-2.115507348150811
-0.0367999999939954,-2.1171866768365346
-0.036799999993974604,-2.118786056779543
-0.036799999993731417,-2.1204256627983553
-0.0367999999944341,-2.1222094251428536
-0.036799999994043806,-2.1242100532492203
-0.036799999994089505,-2.1264573929275072
-0.036799999994083565,-2.1289316690748774
-0.03679999999374588,-2.1315625679737877
-0.0367999999944294,-2.13423441645429
-0.03679999999414243,-2.136797018396959
-0.03679999999407924,-2.1390810675174095
-0.036799999994993796,-2.1409165152293737
-0.03679999999481069,-2.1421518938059565
-0.03679999999436996,-2.142672434447819
-0.03679999999437051,-2.1424148990868246
-0.03679999999418368,-2.141377348476476
-0.03679999999409991,-2.139622568445759
-0.036799999994405766,-2.1372745394961026
-0.0367999999942824,-2.1345081126884238
-0.03679999999387531,-2.131532870039532
-0.03679999999430667,-2.1285729079989615
-0.03679999999471709,-2.1258448869498676
-0.0367999999941194,-2.1235370203629302
-0.03679999999444401,-2.1217916157739074
-0.036799999994007376,-2.120693271253134
-0.03679999999429229,-2.1202639501902354
-0.036799999994948006,-2.120465103285931
-0.03679999999441027,-2.121206019978263
-0.03679999999415011,-2.12235686076898
-0.036799999994143746,-2.1237644415872383
-0.03679999999479725,-2.1252688119894683
-0.03679999999494356,-2.1267189078690887
-0.03679999999424138,-2.127985927076986
-0.03679999999432322,-2.128973441417329
-0.03679999999463864,-2.1296235706521998
-0.036799999994727155,-2.129918846513873
-0.03679999999346348,-2.1298797544249077
-0.036799999993563495,-2.1295583693552205
-0.036799999994021046,-2.1290289435251415
-0.03679999999441186,-2.1283766778710826
-0.036799999993969414,-2.1276861512555905
-0.036799999993770774,-2.1270309424971123
-0.03679999999435451,-2.12646582212088
