time,commanded_torque,passive_torque,ankle_angle,device_current
0.5079135894775391,-6.994668693601819,1.9946686936018196,1.40625,-0.004
0.5117354393005371,-6.994668693601819,1.9946686936018196,1.40625,-0.002
0.5171458721160889,-6.994668693601819,1.9946686936018196,1.40625,-1.405
0.5218219757080078,-6.995812959253897,1.995812959253897,1.3623046875,-3.237
0.5268106460571289,-7.00049812001124,2.00049812001124,1.1865234375,-3.9250000000000003
0.5318708419799805,-7.018931694180528,2.018931694180529,0.54931640625,-4.181
0.537071704864502,-7.026518279374775,2.026518279374775,0.3076171875,-4.314
0.5419278144836426,-7.053633379498926,2.053633379498926,-0.4833984375,-4.304
0.5468423366546631,-7.065123999462367,2.0651239994623674,-0.791015625,-4.101
0.551788330078125,-7.072790530542349,2.0727905305423486,-0.98876953125,-3.994
0.5569205284118652,-7.071927883940781,2.0719278839407806,-0.966796875,-3.977
0.5619330406188965,-7.059312479364364,2.0593124793643636,-0.63720703125,-3.721
0.5668747425079346,-7.048870975309574,2.048870975309574,-0.3515625,-3.6670000000000003
0.5718696117401123,-7.0307942418934735,2.0307942418934735,0.17578125,-3.765
0.5768754482269287,-7.02372168677016,2.02372168677016,0.3955078125,-3.9650000000000003
0.5818736553192139,-7.019607871475014,2.019607871475013,0.52734375,-4.182
0.5868523120880127,-7.019607871475014,2.019607871475013,0.52734375,-3.789
0.5917987823486328,-7.02372168677016,2.02372168677016,0.3955078125,-3.911
0.59700608253479,-7.027932790399438,2.0279327903994377,0.263671875,-4.094
0.6019468307495117,-7.035167492746302,2.0351674927463024,0.0439453125,-3.994
0.606842041015625,-7.037390601298016,2.037390601298016,-0.02197265625,-4.039
0.6118936538696289,-7.037390601298016,2.037390601298016,-0.02197265625,-4.13
0.6168971061706543,-7.036646862660385,2.0366468626603855,0.0,-4.053
0.6218852996826172,-7.035167492746302,2.0351674927463024,0.0439453125,-3.924
0.6268086433410645,-7.03443186146985,2.0344318614698493,0.06591796875,-3.892
0.631920337677002,-7.032968706278122,2.0329687062781217,0.10986328125,-3.838
0.6368083953857422,-7.032968706278122,2.0329687062781217,0.10986328125,-3.8970000000000002
0.6417837142944336,-7.03443186146985,2.0344318614698493,0.06591796875,-3.981
0.6469972133636475,-7.035167492746302,2.0351674927463024,0.0439453125,-3.98
0.6517541408538818,-7.03443186146985,2.0344318614698493,0.06591796875,-3.976
0.6567635536193848,-7.03443186146985,2.0344318614698493,0.06591796875,-3.968
0.6617639064788818,-7.035167492746302,2.0351674927463024,0.0439453125,-3.962
0.666764497756958,-7.03443186146985,2.0344318614698493,0.06591796875,-3.952
0.6720771789550781,-7.035167492746302,2.0351674927463024,0.0439453125,-3.951
0.676835298538208,-7.0359058264764816,2.035905826476481,0.02197265625,-3.97
0.6818695068359375,-7.035167492746302,2.0351674927463024,0.0439453125,-3.971
0.686833381652832,-7.035167492746302,2.0351674927463024,0.0439453125,-3.96
0.6919052600860596,-7.035167492746302,2.0351674927463024,0.0439453125,-3.962
0.6968657970428467,-7.035167492746302,2.0351674927463024,0.0439453125,-3.964
0.7018980979919434,-7.035167492746302,2.0351674927463024,0.0439453125,-3.964
0.7068865299224854,-7.035167492746302,2.0351674927463024,0.0439453125,-3.963
0.7118618488311768,-7.035167492746302,2.0351674927463024,0.0439453125,-3.963
0.7168781757354736,-7.0359058264764816,2.035905826476481,0.02197265625,-3.9570000000000003
0.721886396408081,-7.035167492746302,2.0351674927463024,0.0439453125,-3.9610000000000003
0.7268550395965576,-7.0359058264764816,2.035905826476481,0.02197265625,-3.9570000000000003
0.73183274269104,-7.035167492746302,2.0351674927463024,0.0439453125,-3.962
0.7368175983428955,-7.0359058264764816,2.035905826476481,0.02197265625,-3.963
0.7418167591094971,-7.0359058264764816,2.035905826476481,0.02197265625,-3.97
0.7468111515045166,-7.035167492746302,2.0351674927463024,0.0439453125,-3.9650000000000003
0.7530441284179688,-7.035167492746302,2.0351674927463024,0.0439453125,-3.9610000000000003
0.7568416595458984,-7.035167492746302,2.0351674927463024,0.0439453125,-3.9610000000000003
0.7628564834594727,-7.035167492746302,2.0351674927463024,0.0439453125,-3.963
0.7668261528015137,-7.035167492746302,2.0351674927463024,0.0439453125,-3.962
0.7718210220336914,-7.035167492746302,2.0351674927463024,0.0439453125,-3.958
0.7768740653991699,-7.035167492746302,2.0351674927463024,0.0439453125,-3.962
0.7818577289581299,-7.035167492746302,2.0351674927463024,0.0439453125,-3.96
0.7871763706207275,-7.035167492746302,2.0351674927463024,0.0439453125,-3.9650000000000003
0.7917995452880859,-7.035167492746302,2.0351674927463024,0.0439453125,-3.962
0.7968165874481201,-7.035167492746302,2.0351674927463024,0.0439453125,-3.962
0.8068466186523438,-7.035167492746302,2.0351674927463024,0.0439453125,-3.9610000000000003
0.8080408573150635,-7.0359058264764816,2.035905826476481,0.02197265625,-3.963
0.8118860721588135,-7.0359058264764816,2.035905826476481,0.02197265625,-3.959
0.8168370723724365,-7.035167492746302,2.0351674927463024,0.0439453125,-3.9610000000000003
0.82179856300354,-7.035167492746302,2.0351674927463024,0.0439453125,-3.962
0.8268191814422607,-7.035167492746302,2.0351674927463024,0.0439453125,-3.96
0.8318238258361816,-7.0359058264764816,2.035905826476481,0.02197265625,-3.959
0.836827278137207,-7.035167492746302,2.0351674927463024,0.0439453125,-3.9650000000000003
0.8418145179748535,-7.0359058264764816,2.035905826476481,0.02197265625,-3.9610000000000003
0.8468105792999268,-7.035167492746302,2.0351674927463024,0.0439453125,-3.9610000000000003
